;iteration;solutions;fitness
0;1;[9, -25, -3, 13, 27, 27, 6, 11, 20, -8, 18, -32, -21, 25, -16, 4, -27, 15, -15, 9, -11, 12, -30, -9, 0, 0, -31, 29, -9, -27];613.1250217036426
1;2;[20, -16, -16, 1, 17, -10, 25, 7, -27, -18, 6, -11, 25, 11, 26, 17, 29, 9, 11, 11, -30, -13, 0, 30, -15, 22, -19, 24, 2, 31];598.8901060573995
2;3;[-1, 13, -7, -10, -4, -21, -27, 5, -8, -4, -16, -17, -2, 2, 28, -22, 24, -1, -14, 6, 32, -19, 2, 32, 4, -22, -6, -1, -11, 16];470.66651148767755
3;4;[12, -28, 24, -19, -20, -9, 31, -30, 17, -1, -9, 13, -8, -14, -13, 18, -30, -1, -14, -6, -16, -17, -18, -5, -2, 12, 30, 6, -5, -30];531.6622866158632
4;5;[-31, -2, 29, 14, 28, -30, 28, 7, -31, -5, 18, 13, 9, -18, 24, 18, 5, -1, -30, -5, 20, -30, 31, 16, 28, -28, 2, -24, 9, 31];680.0246342352506
5;6;[20, 19, -21, -2, 1, 16, 23, -6, 10, -2, 23, 22, 32, 30, 1, 16, 3, -21, -5, 8, -11, -6, -18, 3, 14, 4, 16, 27, 6, 12];525.8572734039319
6;7;[-6, 22, 21, 17, -4, 21, -22, -14, 25, -20, -9, -24, -19, 26, 30, -16, -22, 20, 31, -8, -23, -21, -12, -1, 28, 17, -23, -1, 16, -19];638.1797805397
7;8;[17, -9, 27, 12, 7, -25, -22, -22, 6, 11, 6, -5, 32, -19, 6, 13, -29, 21, 8, 4, 11, -26, -8, 31, 27, 20, 30, -5, -19, -25];594.5816380876729
8;9;[26, 32, 23, -15, -4, -16, 23, -24, 14, -26, -15, 2, -5, 3, 16, -6, 5, -21, -7, -4, 2, 25, 22, 19, 9, -14, 20, 29, -21, 12];543.29656682985
9;10;[15, -26, -25, -18, -27, 20, -32, 8, -24, -8, 19, 31, -21, 7, 13, 11, 30, 23, -30, -17, 16, -1, -15, 0, -15, 25, -23, -23, 14, -3];651.5890004937343
10;11;[-11, 32, -4, -5, 8, -7, 22, 7, -1, -10, 18, 23, -24, 16, -13, -24, -3, 29, 15, 17, 27, -15, 9, -18, 31, 23, 15, -26, -21, 18];580.5512252980659
11;12;[16, 0, 8, 27, 12, -31, 19, -31, -31, 11, -9, 13, 18, 1, -30, -14, -20, -17, -9, -31, 14, 26, 19, 0, -6, 17, 24, -25, 12, -16];631.8136940069613
12;13;[-22, 8, 26, -31, -13, -18, 0, 17, -4, -28, -8, -32, -32, 12, 24, 26, 22, -25, -9, 11, -30, -7, -14, 14, 30, 18, -10, 27, -13, -13];642.7286133365182
13;14;[-13, -28, 30, -23, -29, 23, -20, -10, 11, 20, -4, -2, -24, -29, 0, -22, 15, -2, -4, -10, 25, -28, 10, -7, 16, 7, 6, -25, 29, -21];596.7476414084122
14;15;[31, -30, -12, 1, 8, -1, 10, -20, 30, -11, 32, 3, -20, 8, 21, 2, 3, 18, 8, -9, -16, -12, 14, 20, -27, -27, -22, 12, -2, 12];509.31307225141256
15;16;[-28, 13, 24, 17, 6, 10, -16, 9, 31, 6, 29, -28, 11, 27, 27, -20, -27, -15, 23, 9, 8, -20, 28, 3, -11, -30, -14, -24, -18, 7];639.0430971321064
16;17;[-15, 24, 23, 10, -30, 12, -7, -15, 7, -19, -24, 18, -20, -20, 26, -6, 0, -31, 23, -7, -3, -27, -5, 24, -7, 14, -11, -6, 9, -30];567.7315069636213
17;18;[-4, -27, -12, 7, -4, 21, -32, 19, -25, 17, -7, 1, 11, -4, 13, -25, 5, -2, 26, -28, -4, -12, 20, 17, 10, 6, 21, -30, 9, 3];531.5005158307928
18;19;[-2, -29, 26, -13, 3, 8, 9, 7, -2, 19, -5, 3, 6, 23, -16, -21, -31, 30, -21, 0, -10, -31, -18, 14, -6, -10, 10, 5, 10, 9];508.82723105912254
19;20;[-17, 24, 16, -18, 17, -17, 27, -5, -31, -12, -4, 30, -23, -3, -8, -25, -25, -28, 10, 6, -25, -19, -31, -32, 25, 1, 28, -29, -19, 10];704.6262766528396
20;21;[-3, -21, 24, -7, -23, -17, 4, 28, -31, -13, 28, 31, 28, 11, 17, -16, 6, 27, -20, -18, -1, 11, 4, -2, -25, -14, -11, 8, 16, -31];582.5388147944371
21;22;[-2, -7, -20, -10, 19, -30, -18, 16, 30, 16, -11, 31, -2, -14, -2, 20, -19, -7, 10, 15, 0, -17, 7, 9, -12, 1, -12, 13, 30, 22];523.869586394697
22;23;[23, -32, 16, -23, 29, -7, -23, -19, -22, 17, -20, -32, 12, -6, 1, 27, 18, -29, 10, -15, 32, 14, -16, 5, 0, -1, 32, 8, 26, 22];633.6047719495157
23;24;[29, 0, -32, 6, -9, -25, -13, -21, 25, -3, -27, 6, -20, 22, -32, -31, -4, -22, 15, 25, 7, 16, -1, 11, 19, -9, 8, -26, 27, 8];635.4757895739849
24;25;[-23, 30, -18, 16, 19, -23, 1, -30, 3, 18, 3, 12, 11, 15, 6, -30, 32, 31, 14, 22, 1, -7, -2, 15, 29, -9, -18, 20, -28, -22];619.8159247117806
25;26;[-18, -13, -27, -17, 8, -4, 11, 18, 14, 16, -25, 0, 15, 30, 3, 26, -31, -24, 26, -15, -2, 27, 8, 8, -4, -4, 30, -24, -14, -5];548.5763198618997
26;27;[17, -24, 12, -31, -4, 0, -9, -17, -1, -29, 22, -9, 9, 8, -13, 6, 13, -22, 1, -5, 19, 16, -2, 19, 8, -14, 6, -13, 12, -14];468.8892171069074
27;28;[1, 12, -15, -31, -28, -27, 16, -1, 29, -2, -22, 29, 27, -26, 27, -7, -8, -25, -17, 6, -10, 29, 11, 15, -16, 14, 11, 22, 2, -22];615.3185777705532
28;29;[-11, 10, -27, 31, 23, 14, 14, -11, -28, -18, -31, -10, -16, -4, -25, 23, -12, -6, -2, -1, -32, 29, -25, -6, 28, -7, -25, 22, 6, -14];644.6955918156588
29;30;[-1, 30, 1, 15, -29, 27, 21, 27, 11, -11, -14, -23, 0, 21, -28, 11, -17, -12, 31, -9, -32, 8, -1, 22, -24, 4, -29, 32, -15, 19];631.6476514421349
