;iteration;solutions;fitness
0;1;[-459, -51, -172, -26, -350, 209, -33, -171, 436, -60, 200, -383, -242, 311, 452, -9, 493, 431, 323, -69, -141, 90, 399, -347, -208, -130, -96, 198, 199, 376];8485.577574169803
1;2;[-58, 205, 257, 27, 368, 393, 142, -227, -482, 385, 175, 288, -209, -197, 156, 160, -374, 204, -275, 362, 22, 117, 130, 225, -483, 347, 215, 232, 2, 278];8442.069413259724
2;3;[-196, -468, -332, 341, -212, -424, -469, 434, -255, 126, -81, 282, 375, 223, -154, -165, 492, -430, -131, 45, 110, 111, -440, 435, 238, 329, 462, -131, 418, -218];10088.752405468875
3;4;[428, -93, 102, -188, 32, 17, -398, -420, 407, 25, 329, -416, 135, 129, 182, 421, 464, -196, 142, -136, -484, 217, 398, -447, -236, 324, 251, 58, -408, -4];9173.785304214147
4;5;[463, -223, -348, 118, -167, 243, 132, 59, -473, -460, -177, -351, 425, 203, 453, -73, -424, -339, 490, -174, -58, -225, 226, -127, 431, 401, -323, 249, -303, 70];9792.07226785736
5;6;[-84, 422, -21, -483, -103, -361, 400, 59, 244, 154, -107, -147, 97, 17, 27, -23, 68, -463, 99, -174, -219, 306, -135, -491, 92, 498, -179, -324, 149, -40];7798.346372328413
6;7;[-227, 230, -447, 498, -108, 411, 394, 285, -391, -33, 225, 379, 124, -39, 290, -81, -204, 111, 291, 5, -205, 109, 417, -66, 80, -256, 3, 25, 276, -227];7965.360447818396
7;8;[-282, 498, 339, 77, 475, 170, -308, -35, -410, -171, -7, 86, -215, -6, -59, -325, -55, 112, 60, 277, 284, -234, 70, 278, 482, -370, -48, 99, 20, -220];7559.157868742358
8;9;[-468, -345, -328, 128, 451, -315, 296, 366, -363, 0, -314, 132, -252, -465, -192, 124, -164, 382, 357, -95, 340, -378, 321, -85, 360, 467, -188, 133, -489, 194];10088.02759203976
9;10;[54, -52, 365, -135, -430, 202, 98, 8, 483, 343, 344, 174, -112, 280, -260, -93, 498, 75, -342, -225, -439, -105, 89, 234, 323, 402, -335, -348, 196, -328];9024.025714813031
10;11;[457, -202, -134, 164, -96, 45, -69, 33, -66, 3, -385, -458, 197, 250, -377, -89, -237, 471, 171, 17, 27, -80, 347, 437, -307, -328, -206, -104, -242, -411];7367.545956613762
11;12;[-36, -234, -57, 209, -404, 190, -215, 151, 281, -249, -191, -169, -346, -467, 412, 298, 331, 425, -191, 229, -207, 39, 123, 455, -19, -360, -327, -298, -378, -341];9104.732232569615
12;13;[30, -70, -338, -44, -468, 138, -234, -87, -264, -496, -372, -19, 241, 129, -327, -195, -30, 495, -334, -496, 269, 396, 441, -116, -308, 122, -49, -90, -195, 299];8824.551677925932
13;14;[-195, 349, -152, -361, 322, -458, -20, -231, 11, -331, 256, -262, 262, 166, -325, 472, -401, -28, -316, 120, 298, -405, -3, 123, 42, 423, -488, 443, -452, -333];9790.496981442104
14;15;[473, -95, -12, 66, 203, -482, -16, -358, -295, -245, -449, 393, -332, -148, -109, 444, -244, -359, -265, 303, 192, 235, 378, 163, -222, 38, -360, 181, 193, 103];8814.464445116613
15;16;[492, -377, 50, 173, 136, -224, -146, -56, 174, 71, 328, -41, -483, -64, -402, -371, 298, -431, -471, 425, -499, 253, -362, -205, 67, -303, -469, 236, -343, -396];9778.004360228726
16;17;[375, -431, 36, -16, 48, -40, 123, 102, 124, 397, -102, -8, 396, 448, -377, 72, 234, -252, -315, -7, -237, -248, -304, -392, -475, -194, 483, 241, -95, 22];8024.496438257481
17;18;[-368, -1, 261, 410, -342, 242, 436, 331, 144, 316, 370, 196, 440, 61, -143, 495, -34, -301, -468, -67, -199, 248, -162, -178, -29, -397, -408, 373, 282, 328];9665.838262802346
18;19;[-54, -94, 481, -143, -114, 34, -420, 176, 323, -176, -434, -179, 305, -29, 36, -307, 125, -152, 18, -156, -192, -252, 346, -168, 384, -491, 88, -398, 205, 178];8072.551684554498
