;iteration;solutions;fitness
0;1;[11, 15, 21, -4, -15, 17, -20, -13, -30, -27, 2, -6, 10, 22, -12, -27, -24, 17, -22, -23, -30, -5, 29, 1, 18, 30, 6, 20, -15, -21];2.50231434344673
1;2;[-12, -20, -21, -21, 9, -4, 17, -22, -14, -18, 3, -9, -1, -14, 14, -2, -17, -5, -20, 6, 19, -19, -3, -30, -1, 19, -30, 12, -12, 16];2.0288606956106405
2;3;[25, 16, 17, -18, 14, 3, -18, 6, 19, -13, 27, -15, 0, -11, 1, 9, -30, 22, 24, -20, 18, 27, 20, -23, -1, -24, -5, 26, -7, -13];2.5476250997533425
3;4;[17, 18, 13, 8, 17, -25, -16, -22, 24, -20, -16, -25, -27, -18, -18, 18, -22, 19, -16, 30, -11, -16, -7, 10, 18, 4, 29, -12, 4, 12];-6.937948824036199
4;5;[-17, 23, -19, 1, -1, -29, 18, -11, -25, 5, -8, 22, 14, -22, 28, -16, 28, 27, -18, 22, -6, -4, 29, -17, -30, -27, -29, 29, -26, 14];-0.532743192579659
5;6;[-13, 28, 26, 7, -26, -20, 16, -13, 5, -22, -5, -15, 22, 11, -15, -13, -7, -15, -27, -19, 13, 1, 11, 10, -9, 18, -10, -11, -4, -7];5.518929950723112
6;7;[16, 7, 23, 17, -25, -30, -23, -24, -20, 10, -23, -21, -26, 5, 26, 12, 6, -1, 30, 29, 5, 22, -5, -25, 13, -27, 19, -11, 15, 17];5.893027851054431
7;8;[-28, -2, 19, 5, 14, -24, -7, 20, 13, -22, -7, -29, 4, 18, -24, -23, 8, 0, -7, 2, 6, 1, -22, 28, -20, -18, 7, -15, 25, 1];7.153030938277611
8;9;[30, -7, -18, -19, -2, 0, 21, -17, -28, 13, 7, -19, 25, 17, -15, -15, -20, -24, -4, -23, 10, -18, 24, -17, 13, 4, -17, 16, -13, -4];0.19473534646156665
9;10;[-11, 20, -15, 20, -18, 7, 8, -21, -11, -1, 19, 18, 12, -1, -25, -16, -30, 2, -4, 7, -26, -19, -22, -2, -19, -25, -9, -11, 10, 18];6.605256763900248
10;11;[-1, 6, 20, -8, -16, -28, -12, -12, 30, 27, -19, -26, -28, 2, 5, 10, 23, -20, 4, -6, 10, 22, 11, -13, -20, -15, -27, 12, 13, -29];1.0649642619439732
11;12;[-3, 26, -19, 23, 28, 20, -7, 23, 22, -28, 13, -14, -16, 15, 28, -19, -28, -8, 13, -29, -13, 8, 9, 14, 24, 27, -14, 1, 23, -4];8.978602362692019
12;13;[15, -15, -20, 5, -3, -26, -29, -4, 21, -14, 16, 17, 18, 1, -20, -13, -9, -7, 3, 19, 30, -7, -6, -20, -15, -4, -27, -8, 12, -9];2.709114483517478
13;14;[24, -20, 3, -1, 30, -20, 15, 24, -15, -27, -8, -29, 25, 15, 21, -14, 22, -29, 25, -28, 14, -18, -3, -28, -12, 3, 13, -9, -23, -1];2.0033579629660676
14;15;[-15, 13, 29, -9, 3, 8, -17, -10, -10, 24, -20, 1, 3, -27, -4, 17, 27, -18, 22, -2, -22, -12, 17, 1, -4, 15, -12, 0, -19, 0];1.3049015997112945
15;16;[-10, 21, 11, 9, -3, -19, 17, -12, 12, -7, -30, 17, 12, 8, -17, 3, 25, 1, -19, 5, 13, 30, -7, -28, 30, 2, -4, -25, -3, 16];-0.029225259223581657
16;17;[-17, -24, 11, -20, 23, -13, -28, -23, -13, -5, 17, 3, -21, -13, -29, -17, -14, -6, -22, -18, 14, -5, 11, -27, -2, -17, 6, -3, -24, 19];6.5333913854561105
17;18;[17, 18, -8, 10, 24, 17, 30, 20, 27, 13, 4, -7, 18, -20, -22, -16, -21, 11, -19, 4, 16, -19, -10, -24, -19, 15, -23, -27, 7, 6];-1.1509749468148927
18;19;[-27, 11, -30, 26, -23, -17, -29, 4, -5, -4, 3, -21, 5, -2, 30, 6, 10, -6, 17, 29, 27, 0, -12, -10, -5, -1, 2, 17, -1, 0];9.775307372001727
19;20;[26, -23, -7, 4, -18, 21, 2, -4, 1, -4, 6, -26, 16, -3, -25, -16, 16, 4, -7, 5, 15, 13, 27, 15, -28, 4, 9, -24, -3, 30];2.896262417036813
20;21;[-5, 15, 19, 15, 18, -17, 19, 28, 10, 1, -14, -28, 30, -17, -16, -21, 24, 16, 21, 30, -25, 11, 20, -6, -22, 26, -9, 26, -13, 19];5.3736294951534775
21;22;[0, -2, -3, 25, 9, -19, 20, 13, 14, -9, 23, 16, 6, 11, -9, -27, -22, -30, 11, 18, 22, -18, 24, 11, 2, -16, -15, 28, 8, -3];-3.3460491515776196
22;23;[-26, -13, -14, 8, 16, -8, -7, 4, 0, 6, -1, 11, -20, 12, -14, 17, 16, 21, -18, -11, 12, 2, -28, -1, -29, -13, -9, -22, 28, -14];7.988893975822252
23;24;[14, 8, -6, -9, 9, -11, -9, 20, -1, -9, 17, -15, -2, 28, -20, 29, -26, -9, -26, 27, 0, -15, 24, 2, 3, 15, 13, -2, 9, -29];2.5874939451887413
24;25;[-5, 14, 25, 21, -3, 25, 7, -9, -12, -18, 4, -16, 29, -15, 23, -7, 12, 15, 13, 22, 8, 4, -18, 12, 9, -18, -30, -18, 10, -14];7.223334915704164
25;26;[16, -7, 29, 27, -26, -20, -16, 24, -6, -11, -4, -19, -23, -14, -8, 26, -19, -7, -3, 20, -20, -23, 16, -16, -2, -20, 2, -16, -15, -20];2.636613521617655
