;iteration;solutions;fitness
0;1;[17, 14, -12, 8, -22, 27, 0, 19, -8, -31, 21, 16, 3, -22, 27, 9, -24, 27, 31, 31, 17, 23, 30, -15, 30, 4, 24, -6, 30, -8];678.5899882732919
1;2;[12, 20, 30, -6, -14, 28, 4, 7, -15, 1, -16, 13, 9, 6, -11, -18, 23, -3, -16, 24, 3, 20, 23, 5, -12, 15, 7, -27, -22, 28];549.6417910681487
2;3;[30, -24, -32, -25, -10, 30, -28, -28, 22, -26, 30, 13, -2, -26, -10, 2, -16, -2, -29, -16, 4, -22, 3, -31, 1, 0, -13, -23, -10, 23];649.5796401643752
3;4;[27, 27, -17, -7, -24, 4, 5, -16, -26, -21, 12, 7, 22, 23, 16, 5, -10, -5, 15, -6, 1, -8, 28, -24, 27, 31, 29, 5, 24, -31];564.982431295364
4;5;[3, -23, -32, -21, 28, 24, -27, 7, -9, -16, -5, 16, 15, -27, 10, -18, 28, -26, 19, 11, -11, 30, -1, 1, -22, 31, 27, -16, 26, -12];657.2303963357303
5;6;[28, 23, 22, 30, 5, 7, 6, -15, 31, -8, -1, 21, 28, -25, -18, 22, 24, -8, -29, -24, 25, 24, -27, -31, -20, -23, -20, -6, 14, 22];668.3381304297737
6;7;[-26, -7, 20, -5, 8, -28, -29, 28, 13, 28, 13, 30, 23, -3, -8, -1, 4, -2, -23, 23, 15, 11, 25, 9, 17, -13, -21, -23, 20, 16];573.8567680588163
7;8;[24, -19, 0, 31, 6, -17, -23, -26, 3, -17, 0, 0, 13, 28, -10, 20, 3, 13, -31, -32, 3, 14, -27, 14, 15, 19, -8, -26, -21, 10];594.1263512649382
8;9;[1, -2, 14, 29, -5, 14, -21, 1, 8, 25, -20, 29, 5, -22, 17, 19, -10, -23, 1, 30, -10, 29, -5, -28, 23, -9, -19, 16, -18, 14];600.8988204019369
9;10;[26, 24, -27, 20, 24, 13, 24, 13, 4, 18, -20, 13, -27, -19, 14, 26, 23, 21, 8, -29, 18, -10, -25, 17, 14, -17, 25, -15, 17, -10];629.4954480270295
10;11;[11, 23, -11, -6, 10, 26, 0, -21, -11, 14, -15, -14, -9, -16, 0, 24, 22, 28, -11, -12, -22, 16, 8, -24, -30, -24, -6, -3, -7, 19];557.7550544050819
11;12;[-16, -12, 5, -24, 26, -30, 30, 2, 28, 12, -25, -10, -21, -6, -10, -30, -19, 15, 3, 25, 31, 29, -13, 13, 12, -20, -14, -28, 16, -25];662.8552157361826
12;13;[20, 20, -30, -15, 8, 13, -14, -23, -20, -21, 24, 12, 7, 16, -13, -8, -11, 4, 31, -31, -12, -27, -32, 21, -21, -16, -4, 23, 6, 18];597.7597248466604
13;14;[-18, -17, 28, 17, -3, 30, 16, -11, -14, 15, -29, -12, -10, -14, 13, 20, -31, 3, -3, -9, 4, -5, 12, 6, -19, -14, -29, 21, -9, 1];526.7118536677187
14;15;[8, -29, -8, 8, 21, -2, 24, -9, -16, -14, -17, -11, -27, 23, 10, -6, 5, -22, 0, -25, 24, 4, 9, 20, -7, -7, -7, -16, 10, -19];487.33306739150356
15;16;[-10, -26, -6, -23, 20, -10, 21, 24, 17, -14, 14, 25, -12, 3, -11, -15, 7, -15, -31, -23, 14, -21, 22, 22, -2, 27, 17, 10, 18, -27];598.0508667641849
16;17;[8, -14, -16, 6, 6, 14, -19, 31, -3, 21, -10, 10, 22, -24, 18, -17, -20, 29, -7, 16, -29, -17, 5, 16, -22, 19, -31, 26, -2, 14];594.1587589848153
17;18;[-18, 2, 16, 11, 29, 9, -21, 18, 5, -4, -25, 2, -8, 8, -13, -29, -26, 12, -2, 9, 2, -19, -3, -16, 23, -2, 5, -28, -24, -8];478.76440766374606
18;19;[-9, -25, -9, 27, -11, 4, -1, -22, 7, -26, -29, -17, -18, -19, -29, 5, -30, -13, -18, -4, 14, -29, 8, 1, -2, 2, -3, -15, -6, 13];510.07213238064367
19;20;[-23, -16, -13, -31, -21, 24, 7, 7, -21, 30, 10, -8, 7, -10, -21, -2, -17, -16, 8, 2, -28, 22, -11, 14, 20, -32, 26, -20, 26, -28];605.9708092641895
20;21;[-29, 23, 2, -2, 17, -10, -30, -28, -22, 9, 20, 10, -13, 25, -23, 1, 9, 21, 15, -27, 21, -16, 8, 28, 2, 30, 5, -28, -12, -24];601.1046082876321
21;22;[-28, -7, 2, -25, -16, 3, 26, 25, 4, 18, 1, -28, 5, 5, -23, 14, 7, 30, 1, 29, -4, 20, -10, -28, 14, 0, -24, -21, 3, -12];571.4644688210601
22;23;[-7, -15, 22, 31, -19, -25, -29, -18, 2, -32, -14, 1, -27, -1, -25, 18, 19, -15, 6, 30, 18, 13, 31, 8, -7, -23, -11, 26, -15, -7];637.4173613304387
23;24;[-21, 10, 30, -20, 18, -29, 29, 11, -24, -2, 9, -9, -8, 31, -17, -19, 9, 7, -29, 30, 4, 11, -16, -26, 18, 3, -13, 13, 15, -28];582.6732309946283
