;iteration;solutions;fitness
0;1;[44, 42, -36, -11, 59, -91, -53, -17, 63, -32, 7, 17, 49, 5, -24, 93, 75, 89, 56, -73, -16, -78, 72, 67, 84, 90, 2, -44, 97, -61];105209
1;2;[92, 85, 73, -62, 31, -70, -68, -74, 30, -80, 32, -36, -17, -87, -16, -97, 46, -90, 79, -11, -8, -94, -14, -21, -44, 84, -43, 59, 53, 22];111696
2;3;[90, -34, -85, 72, -20, 29, -71, 2, 21, 2, 77, 18, -43, 68, -9, 49, 28, -35, 71, -17, -100, 11, 10, 21, 74, -5, -7, 9, 81, -66];78153
3;4;[99, 55, 99, -100, -17, 80, -91, 35, 59, -62, -78, 10, 44, 72, 3, -89, -24, 72, -33, 82, 86, 76, -17, 88, -12, 44, 15, 42, -25, 80];123253
4;5;[41, -20, -6, 4, -16, 57, -3, -75, 82, 68, -19, 98, -13, -9, 96, 15, 33, -93, 94, -3, 16, 37, 62, -98, -47, -72, 79, 98, -2, 71];104215
5;6;[-23, -52, 96, -4, 56, 30, 34, -43, 66, 34, -87, -46, -56, -95, -5, -35, -1, -35, 66, 38, 87, 95, -69, -95, 59, -75, -35, -67, -21, -8];100845
6;7;[-30, 68, -40, 21, 13, 16, 91, 44, 7, 73, 46, -39, -100, 81, -97, -15, -95, -79, 58, -71, -76, -50, 53, -51, -71, -98, -24, 72, -7, 34];112384
7;8;[38, 76, 74, -31, 50, -81, -27, 74, 69, -55, 96, -30, -88, -53, -51, -12, -75, 69, 46, 16, -69, 19, -60, -1, 10, -60, 98, 2, -74, -33];101477
8;9;[64, -62, -85, 24, -52, -9, 49, 63, -41, -96, -100, 73, 32, 86, -31, -100, -35, 60, 38, 66, -28, -44, 77, 3, -54, 73, -91, -35, -99, 70];122238
9;10;[-9, -71, 86, 29, -22, -60, -6, 28, 58, -72, -4, -92, 33, -65, -9, -16, 5, 53, -73, -70, -41, -51, 6, -63, 94, 76, -90, 8, 56, -88];95948
10;11;[58, -38, 95, -46, -91, -27, 96, -70, -29, -60, 37, 49, -84, 4, 52, -18, -49, -77, -81, -66, -13, 92, 30, -28, 42, -26, -24, 37, 33, -72];97608
11;12;[-74, 80, 37, 98, -62, 81, 80, 46, -20, -45, 79, 73, -41, -81, -44, -7, 24, -52, 89, 3, 2, 19, -13, -20, -77, 35, -48, -78, -73, -55];102032
12;13;[54, -41, -98, -30, -88, -30, 13, 79, -26, -2, -93, -98, -34, -100, -38, -35, 81, -87, -80, 96, 56, -53, 50, 86, -49, -11, -22, -24, -36, -47];115587
13;14;[-3, 94, -20, -30, -13, 34, 47, -100, 23, 87, -48, -13, -29, -12, 15, 77, -28, -25, -17, 49, -4, -14, -61, 37, 59, -35, -32, -56, -89, 46];69693
14;15;[30, -68, -16, 86, 90, 13, 92, -50, -56, -95, -85, -18, -85, 56, 37, 46, -83, 28, -39, 95, 96, -11, 56, 67, 79, -14, -72, -15, -45, 16];115273
15;16;[12, -71, -26, 94, 81, -34, -1, -86, -94, 78, 22, -49, -43, 26, -87, 81, 21, 75, -93, -13, 68, -18, -70, 57, 58, -55, 19, -93, 37, -13];109189
