;iteration;solutions;fitness
0;1;[-436, -420, -373, 20, 121, 353, 33, -429, 496, -173, -469, 153, 342, -144, -470, -403, -478, -429, 202, -318, -431, -367, -365, 118, 330, 35, 412, -222, -304, 284];10916.7209993455
1;2;[-390, 427, 188, -132, 495, -226, -432, 151, -354, -294, 123, -165, 287, -395, -367, -50, 378, -66, -399, -220, 474, 260, 231, -360, 231, -210, -377, -428, -229, -187];10147.793460076848
2;3;[420, -148, 357, -250, -491, 185, 285, -61, 374, 128, 42, 160, 102, -359, -395, -217, -31, 72, -21, -36, -50, 418, 17, 135, -80, -489, 157, -424, 36, -30];7479.70015069861
3;4;[289, -44, 86, 188, 257, 234, 469, -439, -196, 63, -156, -308, 288, 61, 331, 320, -108, 38, -84, -332, 341, 107, -458, -427, 161, -361, -418, 149, 473, 494];9015.894201981611
4;5;[-190, -277, -269, 86, 376, 92, -94, -350, -163, 408, -227, 414, 135, 35, 260, -129, 234, -68, -150, 280, -490, -360, -97, -46, 447, -107, 331, 224, -381, 66];8441.594780136376
5;6;[-424, -365, -127, -412, 246, 37, 424, 442, 74, 89, 376, -90, -132, 278, 109, -355, -61, 309, 347, 16, 170, 204, -237, -55, -429, 367, -330, -298, -122, -131];8619.67494507317
6;7;[-252, 463, -373, 58, -415, 430, -455, 408, -309, -493, -403, -230, 289, 320, -291, -273, -77, 193, -298, 175, -332, 234, 386, -184, -199, 387, -134, -492, 336, 258];10710.414799060633
7;8;[21, -209, 455, -165, -400, 136, 86, 283, 439, -98, -68, -412, 316, 8, -461, 105, 159, -373, -399, -192, 448, -102, -248, -152, 356, 437, -381, -88, 101, -476];9334.604511440899
8;9;[8, -436, 270, -35, -309, 23, 367, 217, -31, -177, 436, 170, -35, -406, -59, 292, 375, 167, -294, 305, -245, 301, -390, -383, 221, -369, -111, 189, 315, -259];9007.782291380898
9;10;[-139, 494, -343, -203, 351, 421, -430, 244, 171, -233, -13, 154, -133, -376, -94, 485, 195, 485, 332, 373, -357, 228, -64, -293, 191, -53, -331, -188, -235, -251];9444.123276064045
