;iteration;solutions;fitness
0;1;[488, -25, -387, -492, 276, -64, 412, -340, 479, -482, 415, -179, 416, -177, -250, -494, 84, -74, 94, -134, -252, -446, -31, 448, -138, -13, -366, 430, -91, -180];764.8322499999999
1;2;[-41, 161, -399, -23, 411, -301, 2, -494, -318, -438, -437, 281, -18, -14, -386, -57, 122, -368, 457, -6, -23, 279, 371, -266, 74, -459, -211, 250, -89, -136];601.5279999993164
2;3;[91, -419, 280, -75, 133, -496, -121, 227, 75, 106, 15, -408, 399, 129, -406, 332, -363, -453, -87, -371, 94, -282, -347, 224, 46, -254, 366, 384, 37, -387];619.1272499999994
3;4;[474, 76, 178, -265, 366, 215, -275, 93, 279, -473, -252, -262, -420, 461, 432, 236, 224, -89, 309, -415, -152, 140, 306, -40, 208, 319, 441, 262, -170, -310];665.6669999999876
4;5;[-413, 27, -276, 217, 261, -305, 149, 231, -118, 127, -194, -349, -422, -125, 150, 446, 446, -362, 155, 325, -264, 149, -337, 346, -462, -311, -171, -362, -408, -441];689.0182500000002
5;6;[432, 403, 484, 79, -205, -319, -438, -322, 423, 321, -169, 155, -381, 8, -223, 432, 206, 258, 37, -452, 338, 382, -75, 362, 462, 488, 210, 268, -35, 37];757.6484999999421
6;7;[279, 230, 171, 79, 122, 220, 64, -355, 445, -12, -162, 239, 347, 209, -263, -277, 226, 230, -39, -33, 15, 71, -120, -149, 476, 323, -471, 231, -324, -180];461.7715000207178
7;8;[273, 2, -139, -141, -254, 2, 39, 210, -42, -160, -302, -202, 103, -234, 283, -190, 187, 217, 112, 302, 316, 200, -498, -460, -121, 412, -176, 154, -478, -292];476.7232499996473
8;9;[-10, 379, 10, -403, -9, -342, 23, -193, -328, 291, -407, -426, -218, 324, 5, 291, -321, 387, 120, 221, 442, 435, -237, -140, -15, 187, 479, -56, -478, -480];686.1832498181702
9;10;[238, -489, -51, 357, 256, -166, -417, 498, -260, 79, 354, 295, -100, 305, -205, 367, -304, -156, 223, -76, 370, -317, 17, 310, -455, -171, 62, -351, 209, -338];634.4979999818144
