;iteration;solutions;fitness
0;1;[24, -17, -13, -10, -6, 6, 0, 4, -17, -10, 27, 29, -26, -26, -22, 23, 8, 7, -17, 20, -26, 15, 23, -10, 8, -6, 1, -15, -24, 21];9221
1;2;[20, -16, -22, -2, 17, 1, 15, -21, 29, 10, 25, -17, -28, -28, -9, 4, 2, -25, -8, -4, 1, 10, -27, 24, -28, -1, -14, -15, 1, 22];9426
2;3;[25, -29, -20, 0, 28, -14, 12, 17, -30, 28, -21, -17, 11, -27, -8, 10, 3, -4, 14, -18, 2, -17, 29, -27, 12, -25, -17, -28, 12, 0];11101
3;4;[-21, 6, 20, 28, 26, -25, 10, 8, 10, 19, 1, -11, 7, 1, -7, 0, -28, -2, -2, -14, 26, -30, -16, 8, 19, 13, -7, -9, -17, 29];8482
4;5;[28, -30, 27, 15, 1, 4, 17, -8, -7, 26, -21, 16, 25, 11, -18, -6, -12, 29, -16, 1, -2, -26, 14, -23, -5, -18, -11, 9, 14, 25];9555
5;6;[29, -1, -28, -4, -24, -12, 23, 23, 18, -25, -10, -25, -5, -23, -30, -24, 6, -13, 18, -13, -10, 3, 2, 16, 23, 23, 16, -11, 11, -1];9748
6;7;[-6, -8, -16, -5, -3, 6, -24, 0, -20, 17, 19, -14, 11, -21, -16, -13, 1, 11, -8, -21, 27, -19, -15, 29, -19, 6, 1, -13, 16, -3];6850
7;8;[24, 0, 19, -17, 20, -18, 21, -28, 17, 9, 10, 3, -21, 29, 25, 2, -22, 22, 27, 0, -24, 17, -29, -12, 13, -13, -20, 4, 7, 19];10276
8;9;[28, -3, -17, 15, -25, -25, -26, 21, -2, -16, 28, 12, 14, 7, 6, -14, 15, -5, -1, -3, 4, -7, 12, 5, -4, -9, 20, 23, 13, -25];7653
9;10;[4, -25, 27, 1, -21, -16, 4, -1, -18, 7, -23, -21, -24, -6, -3, 16, 5, -28, 23, 9, -13, 3, 6, 21, -6, -1, 18, 24, 28, -8];8164
10;11;[-7, 8, 15, 13, 15, -18, 11, 13, -9, 20, -26, 14, 10, 29, 22, 15, 29, -28, -30, 5, -17, -21, 21, -1, 6, 9, 26, -9, 2, -10];9049
11;12;[-26, -30, -23, -3, 12, -8, -18, 19, 4, 27, -24, 18, -25, -24, 7, 9, -5, -28, -4, -13, -1, 26, -27, 19, -29, -26, -26, -6, -24, 17];11838
12;13;[29, -18, -9, -1, 18, -12, -14, 17, 25, 10, -9, 4, 12, -18, 13, -17, -29, 6, -17, -19, 19, 13, -25, -28, 20, 21, 22, -19, 18, -20];9824
13;14;[-20, 1, 15, -17, 16, 15, -19, 14, -13, 11, -24, 4, 24, 27, 14, 0, 25, 7, -6, 2, -9, 25, 28, -27, 11, -24, -22, -25, 0, 20];9475
14;15;[9, 18, 0, -4, -3, -15, -14, 29, 22, 29, 7, -24, -30, -18, 24, -21, 19, -11, 27, -30, 12, 19, 28, -22, 23, 9, 20, 7, 24, -29];12243
15;16;[12, 22, -24, -15, 29, -10, -15, -10, -14, 22, -15, 13, -7, -27, 6, -22, -23, 12, -10, 3, 7, -17, 28, 26, -13, 18, -25, 0, -13, -25];9559
16;17;[-15, -3, 17, -20, 18, -30, 12, -27, -9, 14, -19, -15, -5, 22, 23, 6, 0, -4, -2, -13, 28, -17, 12, 20, 12, 17, -5, 6, -12, -16];7657
17;18;[10, -11, -9, -24, 9, 8, 11, 27, -20, 13, 16, -21, 16, -2, -5, 20, 20, -16, 14, 4, 13, -5, -4, -25, -3, 3, -24, -16, -7, -23];6955
18;19;[27, 3, 25, -28, -19, -11, -13, -2, -16, -22, -10, 8, -13, -13, 7, 8, -7, -24, -16, 26, -1, -15, 4, -12, -28, 8, -26, -1, 6, -13];7830
19;20;[-21, 25, 10, 9, -18, 24, 8, -7, -20, -26, 12, 7, -16, 26, -25, -22, -23, -19, 4, -27, 11, -22, 12, 27, 3, -5, 9, -12, -10, 22];9526
20;21;[-17, 5, 23, -17, 6, -28, 10, 29, 6, 20, -10, 8, -30, -7, -8, 9, 22, -17, 28, -11, -11, 7, -13, -27, -1, 13, 1, -17, -11, -28];8698
21;22;[-4, 4, -15, 27, -7, 1, -24, -8, -9, 23, -22, 1, 20, -12, -5, -27, -21, 9, -22, -15, -16, -20, 12, 9, 22, -26, 19, -11, 10, -4];7939
22;23;[-28, -19, -17, 6, 23, -20, -6, -1, -15, -14, -4, -3, -21, 4, 26, 17, 0, -6, 10, -4, 19, 16, 1, 0, -20, 9, -2, -30, -30, 27];8088
23;24;[-1, -24, 25, 7, 11, -14, 4, 14, 10, -9, -25, -30, 21, 9, 9, 8, 28, 9, 1, 9, -5, 12, 10, -17, -21, 24, 3, -3, -14, -11];7010
24;25;[12, -16, 7, 23, -3, -5, -5, -5, 9, -20, 14, -1, 17, 17, -1, 1, 7, 20, 10, 5, -7, -27, -5, 8, 19, -13, -17, 14, -15, 7];5050
25;26;[5, 25, 6, 12, -16, -28, 23, 15, -6, -3, 29, -4, 7, -14, 19, -29, -28, -6, -10, 26, 6, -11, -2, -28, -10, -5, -30, -25, 26, 27];10569
26;27;[-13, 8, -25, 25, 12, 21, 22, 18, 8, 7, 11, 8, 8, -25, -12, 20, -4, 22, -16, -25, 12, 24, -24, -23, 25, -12, -10, 24, -13, 27];9956
27;28;[-18, -26, 19, 11, 24, -18, 7, -28, 11, -6, 5, 29, 9, -2, 16, -28, 22, -27, -16, -20, -1, 0, -27, 12, -26, -15, 28, 22, 20, 17];10964
28;29;[5, -28, -15, 7, 5, -4, -4, 15, -5, 4, -22, 21, -29, 22, -8, -10, 9, -29, -20, 27, 2, 28, -8, -14, 2, -14, -22, 10, 20, -7];8152
29;30;[13, 27, 14, -16, 29, 26, 10, 14, 4, -12, 17, 28, 27, 4, 9, -17, 25, 4, 12, 13, -16, -16, 26, 2, 4, -26, -23, -20, -22, -5];9787
