;iteration;solutions;fitness
0;1;[38, -65, 22, -98, -91, 23, -24, 75, 65, -51, -75, -16, 71, 30, -52, 39, 12, -37, 11, -22, 26, 25, -72, -4, -44, 24, 94, -89, 45, -88];48661137063.0
1;2;[17, 43, -63, -81, -25, -50, 10, 59, 62, -98, -73, 35, 10, -31, -1, 49, -21, -42, -19, -8, -23, -33, -86, -29, 27, -80, -21, -10, -8, 60];33048371167.0
2;3;[34, -1, -26, 57, 77, 8, 55, 23, 62, 17, 38, -81, 3, -25, -26, -88, 34, -92, 96, 2, -7, 84, -74, -14, 54, 84, -83, -39, -57, 19];53395104568.0
3;4;[-78, 5, 86, 4, 50, 15, -98, 89, 81, -60, 36, -30, -27, -64, 17, 55, -29, -28, 49, 11, -29, -79, -55, -29, -5, -67, 35, -26, -20, 56];41526099788.0
4;5;[-2, 32, 30, -13, 13, -2, 15, -45, -76, 22, -88, 49, -82, -24, -81, -31, 87, 0, 97, -55, -65, -46, -51, 79, 99, 1, -74, 54, 59, -90];56515836633.0
5;6;[60, -27, 58, -60, -57, 97, 47, -79, 15, 50, 82, -91, 48, 73, 34, 15, -64, -59, 98, 43, -79, -40, -83, 39, 54, -93, -49, -89, 41, -25];70589867355.0
6;7;[-21, 25, 23, 37, 71, -30, 65, -79, -60, -17, -68, -90, 62, 84, 92, -76, 79, -11, -30, 10, -47, -57, 8, -77, -65, 1, 35, 62, -53, -38];48916490424.0
7;8;[-1, 45, 50, 22, 49, -6, -46, 59, -19, 11, 13, -25, 45, 62, 82, 6, 78, 93, -97, -15, -20, 43, -51, -29, -31, -45, 67, -43, -68, -56];35979534226.0
8;9;[83, 29, 44, -95, 67, -18, 10, -98, -100, 22, 24, 75, 14, -81, 53, 66, -61, 80, 2, 92, 75, -48, 68, -33, 78, -99, 62, -70, 25, -65];80476181997.0
9;10;[-11, -29, -60, 96, 2, -7, 74, -38, -13, 37, -82, 49, -12, -41, 56, 40, -42, -75, 47, 45, 22, 84, 57, -100, -25, -49, -98, 93, -20, -24];57453914595.0
10;11;[95, -18, 6, 67, 49, -83, 88, 31, -77, -92, 50, 70, -30, -75, 94, 0, -91, 36, -82, -27, -40, 42, 74, 52, -97, -9, 86, 78, -14, 74];79951528126.0
11;12;[-70, -35, 28, 15, -68, 75, 50, -80, -48, 81, -55, -94, 49, 18, -66, 70, 38, -17, 29, 25, -89, 56, 91, -78, -67, -19, -99, -4, -5, 75];60885508170.0
12;13;[-43, -34, -6, 72, -22, -25, -11, 58, -64, 47, 38, -80, -30, -50, 20, -97, -45, 53, 5, -28, 37, -34, 33, 8, 16, 86, 86, 14, -94, 15];40843776187.0
13;14;[32, 87, 12, -60, -96, -67, 22, 30, -63, 1, 50, -99, -24, -92, 99, -75, 95, 62, 31, -39, 20, 52, -76, 22, -90, 76, -26, 35, 1, -4];73589127445.0
14;15;[32, -88, 69, 98, 54, 40, 20, -36, 38, 86, -47, -14, 34, 2, 68, -7, 67, 69, -77, -25, -67, 33, -39, 92, -67, 80, -71, -50, 53, -60];54689265964.0
15;16;[23, 72, -16, 49, -74, 86, 51, -61, 65, 25, 18, 5, -97, 22, 58, -88, 92, -9, 9, 33, 91, -41, -85, -48, -1, 93, 47, -76, 66, -50];64838405272.0
16;17;[-55, 79, 20, 66, 19, 22, -49, -18, 73, 30, 85, -45, 84, 22, 69, -90, -44, -84, -42, 95, 57, -45, -79, 66, 56, 78, 4, 41, 99, 30];65134988743.0
17;18;[-18, -20, -69, -67, 85, -84, 57, -77, 33, 21, -38, -6, -74, 98, -93, 61, -25, -11, -16, 46, -59, -94, -68, -44, 82, 94, 25, -87, -82, -63];75468856755.0
18;19;[-47, 17, 99, -55, 2, 17, -67, 42, 34, -38, -97, -18, -78, 6, -14, -12, -93, 88, 54, -52, 43, -63, 48, -17, 56, 25, 82, 79, -53, 87];53783201275.0
19;20;[-85, 93, -93, -37, 91, -11, 44, 27, 42, -37, -15, 13, 85, -44, 10, -59, -80, -6, -72, 75, -40, -5, -99, -47, 51, 21, -34, -30, -86, 38];61858823587.0
20;21;[-99, 66, 35, -5, 12, 46, -49, 43, -48, -61, 89, -25, 3, -27, 50, 23, -71, -81, -77, 79, -34, 48, 5, -52, 58, -88, 99, 41, 30, -75];54479190715.0
21;22;[90, 12, -60, 50, 94, 78, 25, -54, -48, -36, 39, 97, 86, 0, -8, 88, -85, 62, -16, -68, -77, -18, -6, 24, -15, 92, 3, 43, -33, -15];61911227800.0
22;23;[-26, -46, 46, 48, 41, -58, -35, -78, 0, -94, -40, 94, 29, 22, 72, -21, 23, -14, 53, -81, -100, 35, 50, -18, -19, 64, 91, -100, 27, -92];60090615698.0
23;24;[-80, 53, 68, -57, 25, -11, -32, -88, 14, 40, 61, 89, 84, -52, 59, 0, -32, -10, 20, 11, -35, -26, -32, 83, 15, 0, -31, -35, 86, 52];39589253596.0
24;25;[3, -69, 42, -45, 36, 73, 99, -43, -25, -78, 1, 14, 6, -29, -57, 17, 80, -87, -94, -69, 63, -95, -82, 25, -26, -98, -53, -70, -68, 0];70273776864.0
25;26;[-29, -4, -44, 94, -71, 0, -9, -53, 5, -89, -94, 19, 70, -51, 99, 38, 42, 50, 17, -65, 66, 12, -50, 82, 10, 32, 16, 38, -58, 12];49778807522.0
26;27;[91, 46, 91, -95, -3, 76, 20, -59, -75, 49, -21, -71, -82, -12, 36, 28, 82, 48, 38, 14, 96, 34, -64, -34, 80, -28, -75, 95, -85, -81];74530065365.0
27;28;[35, -9, -32, 49, 86, 85, -95, 44, -82, 47, -11, 61, 19, -45, 44, -29, -69, 62, -93, 90, 91, 35, 19, 96, -49, -67, 59, -50, 27, -74];64689484981.0
28;29;[-42, -43, -60, -59, -34, -33, 30, -63, 6, -16, -36, 94, 24, -25, -77, -21, -77, 32, -74, 8, 78, 28, 17, -92, -53, 94, -97, -97, -3, 8];60947768000.0
29;30;[-64, -32, 13, 37, 2, 2, -43, 50, 77, -88, 24, -75, 38, -70, 60, -49, 75, 81, -60, 3, 99, -89, 9, 41, 71, -57, 54, 52, 14, 16];50313767098.0
