;iteration;solutions;fitness
0;1;[322, -231, -408, -468, -268, -292, 174, 394, 422, 231, -309, 99, -115, 260, 64, 427, 285, 429, 479, -238, 95, -350, -59, 40, -260, 477, -121, 8, 292, 319];12178.883251319785
1;2;[143, 478, -323, 336, -199, -467, -305, 111, -17, -263, 432, -320, -494, 271, 59, 373, -75, 27, 92, 124, -54, -147, 493, -84, 305, 444, 177, 167, 369, -265];13099.278343651104
2;3;[-198, 353, -263, 442, -116, -21, 189, -74, -244, -352, -458, -342, -317, 439, 250, 367, -486, 273, 218, -498, -275, 321, -275, 40, -319, 430, 248, -471, 401, -478];11935.710285141116
3;4;[247, 113, -466, -385, -211, 342, -438, 23, 103, -135, -308, 12, 471, 283, -328, -37, -52, 415, -168, -179, 352, -85, -288, -125, -172, -118, -240, 366, 424, 168];11768.013853354343
4;5;[131, 90, 452, -21, 132, -76, -372, -406, 497, -254, -341, -341, 492, 233, -428, 12, 132, -237, 286, -433, 280, -424, 63, -484, -311, 426, -11, 198, -314, 178];11486.734700563513
5;6;[-181, -325, -17, 429, -46, 277, -295, -472, 334, 382, -122, 272, 275, -178, -358, 408, 332, 128, 455, -24, -70, -253, 76, 396, 363, -193, -81, 229, -28, 129];11937.341836681133
6;7;[-161, -265, -480, 399, 25, -217, 444, 30, -248, 478, 102, 302, -329, -333, -445, -276, 210, -230, -75, 329, -493, 282, 489, -17, 241, -259, 202, -341, 461, -55];12366.76194957761
7;8;[281, 257, -388, 419, -231, 280, 435, -82, 373, -259, -261, 136, -307, -499, -339, 451, -183, 16, 373, -148, -442, 359, -188, 468, 347, -399, 267, 223, 264, -127];11336.856052036574
8;9;[-100, -132, -153, 462, -168, 155, -182, -370, 14, -477, -226, 345, 97, 294, -157, -48, -269, -290, -345, -65, 171, -497, 196, 430, -398, 406, -468, 203, 351, 339];11432.658786344327
9;10;[-337, 388, 299, 44, 454, -412, -374, 467, -285, -389, 125, -311, 325, -406, 279, -41, 388, -294, -323, 383, 411, -75, 68, 102, 196, 36, -311, -259, 4, 258];11960.372713049
10;11;[141, 207, 239, 438, -337, 350, -357, 107, 128, 179, -145, -82, -440, -244, 452, 86, 316, 490, 66, -190, 17, -97, 419, -20, -127, -208, 118, -434, 499, 26];11217.276811564965
11;12;[263, -272, 103, 326, 263, -410, -30, -460, 191, -329, 64, 20, -147, -150, -31, -385, 482, -343, -468, 445, -120, 177, 458, 253, 1, 8, 279, -246, 242, -460];11877.821059679085
12;13;[-112, 492, 338, 235, 154, 385, -369, 252, 490, 9, 138, -173, -294, -185, -471, -89, 439, 64, -52, 349, 412, -40, 77, 113, 211, 431, -449, -304, 407, 1];10774.696303133656
13;14;[199, -393, 29, 90, -323, -468, -196, -110, 336, -81, -54, 224, -294, 494, -136, 433, 278, -66, 220, -264, 290, 328, 307, 126, 177, -289, 341, -306, 266, -46];13875.816015706698
14;15;[111, 392, 359, 212, -132, -479, -385, -218, 265, -39, 353, -6, 189, -126, 166, -200, 275, 416, -88, -173, -120, -208, -156, -282, 307, 410, 389, 444, 495, -471];10713.166493018702
15;16;[-112, -147, 223, 168, 4, -242, -222, 325, -33, -465, -309, -102, -497, 210, -372, 245, 54, 324, 115, -216, -360, -165, -66, -77, 226, 323, -430, 182, -30, 444];11659.902198998128
16;17;[116, -270, -420, 328, -262, -260, -435, 288, 451, -58, 317, -4, -279, -105, -446, 68, -497, 205, 210, -382, -334, -317, -293, -297, -283, 493, 10, 118, -227, -333];13655.07172256662
17;18;[187, 85, -402, 473, 31, 17, 215, -195, 354, -133, -91, 68, -421, 228, -144, 153, -126, 483, 490, 258, -461, 198, -279, 35, 400, 174, -180, 42, -162, -349];10702.981684805698
18;19;[233, -232, 275, -283, 485, -479, 46, -62, 336, 347, 431, 155, -290, 212, 187, -29, -257, 157, -466, 295, -392, -189, 419, 235, 49, -46, -206, 420, 155, 421];10630.50898613026
19;20;[-323, 133, -335, 216, 167, -499, -79, -29, -327, -143, 485, 51, -469, -486, -100, -435, -370, 29, 458, 176, 98, -33, -464, -466, 40, -169, 55, -485, -187, -42];11743.540754527055
20;21;[437, -222, 378, 80, 413, 469, 441, -299, -201, 208, -63, 468, -96, -42, -253, 105, -153, 304, 351, 221, 193, 14, -158, 359, 354, 445, -412, 0, 417, 407];9100.019931626597
21;22;[-410, 130, 196, 264, -225, 476, -213, 255, 96, -72, 210, 445, 218, 384, 266, 85, 137, -411, 105, 114, 452, -413, -15, -57, 472, 321, 57, 107, -130, -193];10223.471631489512
22;23;[397, -290, -465, -27, -306, 481, -463, 467, -410, 466, -220, 135, -48, 249, 108, 298, 153, 49, -111, -426, 366, 97, -455, -456, 188, -286, -21, 307, -143, -26];11537.101804104706
23;24;[342, 340, -105, -264, 439, 388, 87, 332, -288, 356, 96, -447, -314, 299, -351, 433, 194, 166, -135, -270, -179, 79, 239, 218, 368, -334, -444, 317, -428, -409];11553.343426121919
