;iteration;solutions;fitness
0;1;[12, 26, -27, -22, -19, -16, -16, -21, 28, -11, -2, -16, -26, -19, -4, 17, -18, 27, 11, -7, 7, 2, 8, 2, -18, 4, 11, -19, 17, -21];2.3538643576312333
1;2;[-28, 6, 8, 11, 27, 15, 2, -20, 12, -2, 25, 9, -10, 25, 20, -29, -29, -5, -6, -29, -21, 29, -12, 26, 19, -6, 0, 0, -1, -6];6.091442010729211
2;3;[16, -25, -13, -17, -24, 22, -17, 22, 10, 17, -11, -20, -16, -27, 12, 25, -1, 18, -10, 27, -29, -15, 25, 9, 23, -6, 1, -26, -27, -2];-3.45944396818172
3;4;[-2, -14, -19, 4, 10, -20, -4, -17, -7, 13, -9, -8, 27, -12, -5, -25, 12, -24, 13, -13, -17, -3, -17, -14, 18, 10, 9, -20, 10, 24];2.0381171657239956
4;5;[-28, -26, 0, 16, 12, 23, 16, -19, 3, -4, -21, 26, -13, 28, -19, 4, 12, 18, 19, 27, -15, -30, 24, 14, 18, 15, 28, -17, 13, 8];3.7126152056870394
5;6;[24, 5, -4, -21, -5, 16, -5, 12, 28, -10, 23, -25, 19, -19, 13, 11, 9, 8, 5, 19, 0, 11, -4, 16, -15, -3, -23, -28, -16, 8];0.5657314743969888
6;7;[24, 19, -9, -11, 16, -7, -11, -10, 11, 8, 14, -4, -3, 9, 17, -19, 12, -22, -8, -9, -9, 20, -11, 15, 8, -26, -4, 7, 8, -5];2.103726722253912
7;8;[-17, -13, -25, 6, -5, -13, -6, -18, 1, -17, -13, -19, 0, 10, 19, 10, 25, -8, -13, -15, -13, 9, -14, -7, 6, -25, -20, 19, -25, 17];-0.05528498850855268
8;9;[2, 29, 19, -4, -17, 4, -2, 25, 7, -11, -14, 12, 24, -20, 27, -4, -13, 25, -8, -6, 24, -21, -17, -6, -1, -1, -7, -25, -23, -3];-1.5028006498104942
9;10;[12, 8, -18, -4, 12, 11, 5, -19, 29, -15, -3, 15, 3, 26, 0, 2, -12, 26, 12, 28, -27, 10, 21, 3, -1, 10, -7, -25, -22, -14];3.863955635832174
10;11;[17, 20, 4, -1, -30, -25, -25, -11, 7, -2, 28, -28, -24, 27, 14, -8, 15, -4, 26, 17, -1, -11, 10, 14, 8, 12, 13, -5, 3, 22];-5.81471336058206
11;12;[-30, 9, -14, 29, -9, -21, 17, 15, 29, -8, 5, 10, 18, 12, -23, -3, 21, 1, -25, 20, -9, -11, 17, -6, 12, -15, 0, -11, 6, 19];0.6510560190321597
12;13;[-29, 12, 16, 4, 15, -1, 20, 7, 26, -4, 22, 28, -29, -26, 15, 24, -9, 13, -5, 17, -15, -4, -23, 13, 22, -2, 17, -7, -3, -16];4.938975301371729
13;14;[9, -27, 18, -9, 25, 24, 15, 14, 0, 18, -19, 13, 4, -6, -19, -24, -15, 28, -9, -11, 6, -6, -4, -12, 5, -17, 4, 13, 10, -2];-2.7749808626660357
14;15;[7, 8, 28, 23, -9, 6, 21, -26, -24, 21, -16, -3, -14, -2, 0, -26, 29, -22, 10, 29, -24, -15, -18, -3, 21, 7, 9, -20, 9, 7];2.5662901515958603
15;16;[-24, 10, -30, -11, 25, -28, 19, 29, -20, 2, -3, 9, -8, -19, -7, 19, -11, -6, -24, -23, -3, -18, -10, -8, 17, -14, 15, -16, 13, 22];-5.079545867956925
