;iteration;solutions;fitness
0;1;[-1, -2, 9, -7, -12, 4, -29, -3, -30, 26, 29, 18, 19, 27, 14, 1, 6, -8, -17, -14, -28, -22, 2, -24, 7, 10, -30, 20, -8, -13];1.1753846049233068
1;2;[14, 23, 18, -6, -10, -1, -2, 13, -25, -5, -22, -5, 10, 26, 13, -15, 0, 28, -14, -21, -26, 21, -11, 15, -10, 24, -16, -10, -13, 12];-0.04298552383253773
2;3;[-28, 3, -23, 9, -11, 12, -25, -6, 3, -26, -6, -29, 21, 29, -3, 4, -4, -2, -7, -21, 4, 13, -24, 7, -7, -30, 20, 27, -10, 22];-1.717049115131721
3;4;[-14, -22, -5, -1, -7, 16, 14, 22, 18, -11, 9, 26, 2, -26, -24, -20, -24, -13, 15, 23, -27, 21, -14, 10, -21, -22, -6, 24, -5, 24];-0.6200041517468168
4;5;[-21, -2, -17, 13, 10, -9, 28, -1, 22, 11, -22, -10, 11, 3, -29, -10, 22, 8, -11, 9, -25, 27, 9, 26, -4, -8, -21, -22, -29, -23];-0.9268088002819379
5;6;[21, 18, -20, 9, -25, 18, 22, -20, 17, -1, -30, 10, 17, -8, 4, 9, 24, -4, 14, -4, -23, -29, -28, -19, -29, 14, 5, -14, 11, 25];-2.113662092709682
6;7;[-13, -3, 16, -30, 9, 25, 2, 22, -24, 2, -26, -23, -3, -5, 13, 29, 0, -14, -25, -13, 18, -20, -3, -8, 2, 4, 5, 5, 22, 20];4.178457158670829
7;8;[-13, -6, 7, -6, -15, 17, 22, 4, 19, -20, 23, -5, -12, 23, 21, -26, 5, -3, -11, 3, -27, -25, 6, -12, -25, 22, -21, 13, 24, -17];1.1905241686027086
8;9;[-30, 16, 1, 12, 0, -7, 9, -28, -5, 20, 1, 5, 29, -5, -18, 2, 28, 2, 4, 13, -1, -21, -1, -18, -4, 11, -24, -8, -24, -10];3.428661733427494
9;10;[9, -6, 24, 29, 15, 13, 22, -23, 5, -10, 23, -16, 21, 8, 22, -14, 4, -22, 0, -16, -5, -19, -11, -2, 20, -25, 13, 29, -6, 13];4.698477131917933
10;11;[-2, -1, -4, 24, 23, -18, 16, 25, -21, 29, -29, -20, -3, 18, 6, -4, 8, 29, -13, 5, 16, 10, -7, 1, 11, -17, 25, 16, -20, 16];-0.8706410233135216
11;12;[-18, -3, 18, 2, 22, -1, -17, -12, -17, 23, -23, 4, 22, 8, -10, 8, -11, 17, 15, 22, -30, 24, 11, 16, -27, 20, -10, 11, 20, -10];3.646251674952696
12;13;[-15, -10, -15, 20, -20, 16, 17, 24, -25, 13, -25, -5, -20, -19, -23, -26, 8, -1, -20, 7, 12, 24, 1, 22, 22, 10, -26, 21, 17, 13];-0.22549303400479714
13;14;[24, 22, -7, 1, -18, 0, -7, -13, 28, 1, -6, 3, 12, -30, 20, -29, -6, 15, 28, -20, -11, 16, -26, -9, 29, 27, -23, -6, 11, -30];8.433751666263179
14;15;[21, 10, -30, -27, -14, 9, -20, 5, -15, -7, 10, -26, 11, -6, 24, -24, -20, -18, -24, -12, 0, 10, 9, 14, -28, -9, 21, -2, -28, -6];-4.2943756580377626
15;16;[0, 16, -4, 8, 12, 21, -12, 24, -3, 2, 12, -4, 5, 3, -6, -2, 27, 20, -14, -11, 2, -8, -6, 24, 16, 23, -17, -10, 12, 26];-6.00848975810126
16;17;[-16, -20, -3, -28, 22, 10, -24, 7, -21, -2, 11, 4, -6, 9, -3, -12, 19, -30, 12, 5, -25, 0, -22, 15, -17, -13, -2, 21, -27, 29];2.2268740986678703
17;18;[22, 4, 23, -11, 6, -20, -19, -15, -27, -22, -30, -18, 15, -13, -10, -11, 12, -27, -8, 1, -26, 11, -21, 5, -28, 25, -29, 20, -7, -12];1.5655191926050236
18;19;[14, 1, 5, -12, 27, -19, 25, -15, 21, 25, -8, 29, 10, -23, -25, 13, -23, -22, -28, 9, -5, 22, 18, 26, 16, 14, -7, -23, 13, 4];-1.1854849408859098
19;20;[16, -21, -27, -27, 22, -15, 9, -8, -21, -9, -20, -13, -13, -23, 3, -1, -1, 23, -19, 10, -19, -21, -18, -8, -11, -8, 16, -29, 8, -19];-3.041794458686188
20;21;[18, 16, 1, 20, -14, 9, -21, 28, -7, 5, -7, -8, 16, -6, -1, 9, -7, -9, 27, 13, -12, -14, 13, 2, 25, 13, -22, 17, 7, -13];0.7238682871441947
21;22;[20, 7, -9, 10, -9, -16, 4, 15, 24, -6, -25, -20, 13, -3, -24, -2, -30, 24, -18, 14, -17, -7, 21, -21, 17, -2, -3, -28, -17, 18];2.8084708296036527
22;23;[29, 14, -25, 23, -5, -30, 13, -22, -21, 17, -30, 10, -21, 3, -15, -8, -5, 26, -27, 20, 19, -9, 8, -5, -7, 12, -5, -18, -30, 1];-4.626158327206477
23;24;[11, 1, -26, -16, 11, -19, -21, -16, 27, -4, 20, -20, -14, 27, 28, 15, 3, 0, 1, -27, -25, -21, -6, -1, 12, -5, 11, 11, 29, -12];-1.146993537748228
24;25;[-2, 2, -1, 2, -10, -14, 21, 4, -12, -30, -13, 19, 12, -8, -24, -2, -22, 13, 22, -6, 9, 19, -7, -3, -28, 29, -5, 23, -16, -2];3.570424585450598
25;26;[-12, -21, -4, -18, -9, -18, 8, -13, 16, -4, -9, 11, 8, -26, -27, 2, -9, -24, -5, 19, 26, 6, 5, 20, 11, -27, -21, -21, 6, 6];2.2880373980674307
26;27;[28, 12, 22, 1, 28, 11, -8, -6, -13, -29, 21, 24, 17, -9, -10, 29, 5, 21, 16, -10, -22, -24, 17, -2, 22, -6, -4, -10, 19, 11];2.3428197387895957
27;28;[-13, 6, 1, -30, -12, -7, -24, -24, -1, 18, -15, -20, -22, -4, 0, -9, 14, 8, 11, -13, 22, -18, 27, -17, 27, 15, 6, -7, -2, -1];-0.3908367732506256
28;29;[-11, -2, -17, 6, -1, 16, -19, 25, -20, 17, -9, 17, 26, 23, -6, 26, 21, -15, -7, -11, 11, -6, 14, -8, 23, -2, 11, 5, 21, 12];7.490525848140395
